Wall time,Step,Value
1691168263.5560918,1113,-557.0
1691168401.889858,2280,-569.0
1691168541.9754386,3469,-541.0
1691168681.9609394,4657,-523.75
1691168822.0117743,5893,-519.5999755859375
1691168940.878726,6913,-478.6666564941406
1691169059.6628366,7970,-456.71429443359375
1691169178.5132189,9077,-440.0
1691169297.2793887,10197,-418.0
1691169416.0461495,11301,-407.5
1691169547.0241444,12613,-410.4545593261719
1691169677.8682077,13897,-403.1666564941406
1691169808.6797364,15343,-395.8461608886719
1691169926.6456082,16580,-398.4285583496094
1691170044.4623477,17867,-399.4666748046875
1691170162.2785933,19209,-402.125
1691170310.5200686,20930,-397.76470947265625
1691170445.8835974,22490,-377.3333435058594
1691170555.5426903,23766,-354.631591796875
1691170721.3177927,26086,-320.3999938964844
1691170842.8357584,27632,-281.5238037109375
1691170975.065403,29442,-292.9090881347656
1691171113.3820708,31648,-277.2173767089844
1691171251.6164234,33966,-283.25
1691171389.8002317,36647,-259.3999938964844
1691171501.3435996,38763,-242.96153259277344
1691171617.023561,40839,-220.22222900390625
1691171773.2900746,43487,-224.25
1691171929.5235603,46285,-218.51724243164062
1691172085.7882664,48991,-174.3000030517578
1691172220.6037757,51365,-177.93548583984375
1691172355.315525,53689,-182.6875
1691172489.9962854,56037,-164.3333282470703
1691172615.90339,58176,-164.8235321044922
1691172755.9045198,60790,-165.57142639160156
1691172881.7777882,62854,-150.72222900390625
1691173007.566589,65055,-150.67567443847656
1691173133.4421594,67203,-147.36842346191406
1691173273.8778102,69889,-147.43589782714844
1691173383.3684738,71603,-128.9499969482422
1691173548.9267154,74877,-138.90243530273438
1691173670.2943156,76858,-143.38095092773438
1691173791.6326094,78906,-145.60464477539062
1691173913.150084,80940,-147.72727966308594
1691174045.1780322,83381,-129.46665954589844
1691174183.379038,86478,-127.4565200805664
1691174321.6292908,89521,-130.51063537597656
1691174433.0591533,91689,-126.64583587646484
1691174544.4185731,93891,-122.69387817382812
1691174655.845865,96042,-120.05999755859375
1691174767.2409737,98100,-120.49019622802734
1691174878.585283,100102,-124.15384674072266
1691174989.9787319,102216,-125.4339599609375
1691175105.5266662,104245,-117.74073791503906
1691175221.222323,106247,-120.47272491455078
1691175336.8879924,108350,-117.125
1691175493.0374248,111219,-109.78947448730469
1691175627.7503116,113744,-102.29310607910156
1691175753.6572192,116255,-103.44068145751953
1691175879.4971,118879,-100.0999984741211
1691176016.662598,121825,-102.01639556884766
1691176154.9133015,125338,-101.29032135009766
1691176266.2747178,128009,-101.76190185546875
1691176377.621127,130553,-98.5
1691176493.2327075,133089,-100.26153564453125
1691176608.7809749,135375,-100.45454406738281
1691176764.9963953,138630,-104.776123046875
1691176899.7440968,141524,-89.73529052734375
1691177034.4410813,144496,-87.40579986572266
1691177160.280846,147373,-88.0857162475586
1691177300.8323061,150456,-91.74647521972656
1691177436.1303701,153633,-93.23611450195312
1691177545.7054448,155888,-80.4383544921875
1691177655.2675018,158034,-71.62162017822266
1691177764.7926106,160185,-72.05333709716797
1691177874.400568,162447,-72.31578826904297
1691178039.9905467,166723,-72.31169128417969
1691178205.481577,170959,-69.0
1691178326.8509033,173525,-65.08860778808594
1691178448.2878723,176253,-56.087501525878906
1691178580.2820888,179339,-57.703704833984375
1691178718.4471793,183023,-58.378047943115234
1691178856.7662094,186694,-54.1566276550293
1691178968.1265688,189281,-52.39285659790039
1691179079.4712322,191806,-49.94117736816406
1691179190.9319425,194430,-50.22093200683594
1691179302.3788154,196899,-41.68965530395508
1691179413.887221,199576,-39.477272033691406
1691179529.4861794,201964,-40.51685333251953
1691179645.1335964,204429,-42.266666412353516
1691179801.2991772,207747,-44.989009857177734
1691179936.0464501,210358,-45.75
1691180061.9200993,212877,-47.10752868652344
1691180201.8044875,215605,-44.95744705200195
1691180336.5188725,218093,-46.705265045166016
1691180462.3913472,220573,-48.625
1691180588.2131193,223271,-46.85567092895508
1691180728.1597166,225998,-43.24489974975586
1691180862.830692,228786,-44.88888931274414
1691180988.652687,231410,-43.75
1691181108.6883752,233937,-33.7400016784668
1691181223.383669,236282,-27.559999465942383
1691181361.6191206,239270,-25.1299991607666
1691181499.9024706,242345,-17.100000381469727
1691181639.8878229,245365,-8.649999618530273
1691181758.6524749,247889,-2.799999952316284
1691181889.582176,251037,-1.0199999809265137
1691182007.3813798,253689,1.0099999904632568
1691182125.214198,256389,4.900000095367432
1691182273.389382,260249,8.609999656677246
1691182421.3980005,263799,10.5
1691182569.5226893,267379,11.8100004196167
1691182704.9551032,269720,12.3100004196167
1691182840.2523875,272492,17.059999465942383
1691182975.5171182,275173,21.489999771118164
1691183110.8641698,277941,24.530000686645508
1691183220.3558588,279953,32.790000915527344
1691183385.880306,283867,32.70000076293945
1691183551.4193733,288627,29.639999389648438
1691183672.7724972,291593,34.869998931884766
1691183794.142581,294567,37.279998779296875
1691183926.185456,298117,44.34000015258789
1691184064.3365974,302426,42.81999969482422
1691184202.453059,306586,44.52000045776367
1691184313.8491268,309420,40.7599983215332
1691184429.4127495,312208,37.209999084472656
1691184585.543059,315899,33.099998474121094
1691184720.2753258,319385,36.7599983215332
1691184846.1645398,322654,38.79999923706055
1691184966.0344908,325670,29.81999969482422
1691185080.8133576,328310,30.989999771118164
1691185218.9804182,332246,42.970001220703125
1691185358.9330308,335906,41.150001525878906
1691185498.9005492,339614,44.18000030517578
1691185638.786641,343273,44.349998474121094
1691185778.7047346,347165,43.060001373291016
1691185918.7053258,351037,51.099998474121094
1691186058.6244483,354758,50.31999969482422
1691186177.3741217,357973,51.70000076293945
1691186308.1517165,361681,44.63999938964844
1691186438.9279351,365615,54.70000076293945
1691186569.7057288,369374,63.93000030517578
1691186700.4990768,373266,66.61000061035156
1691186831.24519,377221,71.91000366210938
1691186949.0602257,380635,70.88999938964844
1691187067.079084,384301,69.62000274658203
1691187184.8934515,387657,71.2699966430664
1691187302.7594898,391066,70.16000366210938
1691187450.8352225,395933,70.06999969482422
1691187586.0829148,399211,72.66999816894531
1691625593.4932895,403001,72.76000213623047
1691625733.628189,405961,75.16000366210938
1691625873.9971883,409345,79.6500015258789
1691626014.199405,412601,74.48999786376953
1691626154.3183694,416001,74.43000030517578
1691626294.2525048,419491,79.62999725341797
1691626434.137856,422880,74.93000030517578
1691626553.0226028,425651,77.30000305175781
1691626683.932165,429273,79.83000183105469
1691626801.864708,432192,76.51000213623047
1691626919.6819098,435223,77.72000122070312
1691627067.823256,439546,83.4800033569336
1691627203.221111,442353,85.83999633789062
1691627338.5531962,445237,86.18000030517578
1691627473.833727,448512,93.62000274658203
1691627609.1324587,451754,92.5
1691627744.4466434,454866,97.47000122070312
1691627879.6954486,458154,88.56999969482422
1691628014.975771,461460,86.38999938964844
1691628124.7665112,463775,85.77999877929688
1691628234.2941685,466045,91.37000274658203
1691628343.8024545,468369,91.4000015258789
1691628453.3282158,470841,81.33000183105469
1691628562.854954,473398,79.12000274658203
1691628672.3644233,475975,84.86000061035156
1691628781.9895122,478367,85.23999786376953
1691628891.550629,480730,90.55000305175781
1691629057.1395438,485145,90.04000091552734
1691629178.7419007,487728,84.94999694824219
1691629300.1129465,490077,75.73999786376953
1691629432.290099,493191,84.66000366210938
1691629564.4205709,496345,87.4800033569336
1691629702.7357235,500238,83.23999786376953
1691629814.2632155,503018,80.55999755859375
1691629925.6743047,505752,76.86000061035156
1691630037.0361829,508559,76.9800033569336
1691630148.3632224,511425,73.77999877929688
1691630264.1626878,513866,74.86000061035156
1691630420.5092561,517039,76.94999694824219
1691630576.6587563,520149,78.45999908447266
1691630732.9422646,523340,77.95999908447266
1691630867.7876062,526409,77.8499984741211
1691630993.7786121,529385,82.06999969482422
1691631134.315183,533046,86.37000274658203
1691631243.8246462,535436,87.80999755859375
1691631409.2970185,539964,88.48999786376953
1691631574.937627,544770,84.83000183105469
1691631696.3563163,547942,80.30000305175781
1691631828.3347347,551386,81.06999969482422
1691631960.345481,554941,78.7699966430664
1691632092.4246838,558669,75.36000061035156
1691632224.5033872,562269,76.61000061035156
1691632362.8367796,566657,80.11000061035156
1691632501.054403,571001,74.75
1691632639.1874325,575237,71.41999816894531
1691632750.5984688,578168,70.06999969482422
1691632866.112975,581077,73.11000061035156
1691632981.7095838,583844,71.94000244140625
1691633097.308356,586916,70.7699966430664
1691633253.4900694,590485,66.58000183105469
1691633409.6223567,594114,66.55000305175781
1691633565.8379135,597873,73.66999816894531
1691633721.9702187,601626,75.27999877929688
1691633878.11924,605481,75.87000274658203
1691634012.8333557,609142,77.4000015258789
1691634147.4963362,613089,82.12999725341797
1691634273.3034341,616561,77.9800033569336
1691634413.2036195,620491,78.76000213623047
1691634539.027351,623942,82.56999969482422
1691634664.8667686,627156,72.69000244140625
1691634805.386273,630521,63.599998474121094
1691634940.6681702,633685,60.66999816894531
1691635075.9161956,637353,59.43000030517578
